year,total_pixels,positive_pixels,negative_pixels,nodata_pixels,positive_pct,negative_pct,imbalance_ratio,width,height
1995,58933070,3128077,55804993,0,5.307846680989129,94.69215331901087,17.84003175113656,7010,8407
1996,58933070,8087755,50845315,0,13.723627498109295,86.2763725018907,6.286703170410083,7010,8407
1997,58933070,6456507,52476563,0,10.955660378799204,89.04433962120079,8.127701712396501,7010,8407
1998,58933070,7799009,51134061,0,13.233671688917614,86.76632831108239,6.556481855579343,7010,8407
1999,58933070,5148223,53784847,0,8.735711545317425,91.26428845468257,10.447264425025878,7010,8407
2000,58933070,5462827,53470243,0,9.269544247397938,90.73045575260205,9.78801690040706,7010,8407
2001,58933070,5833294,53099776,0,9.898167531404694,90.1018324685953,9.102880122277396,7010,8407
2002,58933070,6058325,52874745,0,10.28000916972423,89.71999083027576,8.727617782142755,7010,8407
2003,58933070,3271039,55662031,0,5.550430344117488,94.44956965588251,17.016621018581557,7010,8407
2004,58933070,3898787,55034283,0,6.615618361643132,93.38438163835687,14.115744974013712,7010,8407
2005,58933070,4982189,53950881,0,8.453978385989394,91.54602161401061,10.828750374584345,7010,8407
2006,58933070,3888444,55044626,0,6.598067943855631,93.40193205614436,14.155951840890598,7010,8407
2007,58933070,4210926,54722144,0,7.145268352726236,92.85473164727375,12.995275623461444,7010,8407
2008,58933070,5119683,53813387,0,8.687283727116203,91.3127162728838,10.511077931973523,7010,8407
2009,58933070,5970223,52962847,0,10.130514157840413,89.86948584215959,8.871167291406033,7010,8407
2010,58933070,4297423,54635647,0,7.292039936151299,92.7079600638487,12.713583698881864,7010,8407
2011,58933070,3114125,55818945,0,5.284172367059785,94.71582763294022,17.924439449283508,7010,8407
2012,58933070,4900403,54032667,0,8.31520061656384,91.68479938343616,11.026168051892874,7010,8407
2013,58933070,3416601,55516469,0,5.797425791665019,94.20257420833498,16.24903493267139,7010,8407
2014,58933070,4333630,54599440,0,7.353477427868597,92.6465225721314,12.59900822174482,7010,8407
2015,58933070,4583289,54349781,0,7.777108845678665,92.22289115432133,11.85824873796961,7010,8407
2016,58933070,4262206,54670864,0,7.232282316193607,92.7677176838064,12.8268938666972,7010,8407
2017,58933070,4903821,54029249,0,8.321000416234892,91.6789995837651,11.017785722602843,7010,8407
2018,58933070,3454171,55478899,0,5.861176076522061,94.13882392347794,16.061422263113204,7010,8407
2019,58933070,5598357,53334713,0,9.499516994448108,90.50048300555189,9.526851002892455,7010,8407
2021,58933070,4064752,54868318,0,6.897234439000038,93.10276556099996,13.498564734084638,7010,8407
2022,58933070,4725715,54207355,0,8.01878300248061,91.98121699751938,11.470720303700075,7010,8407
